mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__max_depth,param_regressor__max_features,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1554011344909668,0.007434279358909817,0.03798627853393555,0.0009036356410430798,20,sqrt,8,8,171,"{'regressor__max_depth': 20, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 8, 'regressor__min_samples_split': 8, 'regressor__n_estimators': 171}",-184969.28467780008,-92902.12491159563,-466854.2313452969,-1021938.7543800748,-663143.9181574399,-485961.6626944415,335893.524874084,17
0.33062357902526857,0.00457384101986618,0.06972255706787109,0.00013234869376073664,10,,8,5,409,"{'regressor__max_depth': 10, 'regressor__max_features': None, 'regressor__min_samples_leaf': 8, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 409}",-175269.17868099347,-24781.86345388212,-424439.2198371158,-1133004.4109153098,-519679.4382218447,-455434.8222218292,381613.2608520493,10
0.32843847274780275,0.021767894095687888,0.0665985107421875,0.0010539473750628997,10,log2,5,3,393,"{'regressor__max_depth': 10, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 3, 'regressor__n_estimators': 393}",-167099.19591838805,-87774.17129923393,-456411.72591464274,-1025005.8683562318,-641466.2582658726,-475551.4439508738,339207.3765164162,12
0.20382285118103027,0.0022961925882856223,0.04839568138122559,0.0014318921531138499,20,log2,6,3,241,"{'regressor__max_depth': 20, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 6, 'regressor__min_samples_split': 3, 'regressor__n_estimators': 241}",-171669.66247557595,-92488.0093299001,-467597.3682809471,-1026771.7477385618,-662799.2899716333,-484265.21555932367,339903.2007630892,15
0.29246153831481936,0.002125517930670623,0.06554312705993652,0.0020791151376707475,20,sqrt,1,13,363,"{'regressor__max_depth': 20, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 13, 'regressor__n_estimators': 363}",-125856.42650954498,-22103.772975059765,-314284.0125959361,-865902.0116409732,-387817.13666189654,-343192.6720766821,292022.338824871,5
0.20204801559448243,0.0007388063502991366,0.04783420562744141,0.0009874481455717768,30,sqrt,1,11,237,"{'regressor__max_depth': 30, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 11, 'regressor__n_estimators': 237}",-122380.0917458614,-18454.561451348793,-318017.15315072995,-853244.4452982073,-376596.66396513203,-337738.5831222559,288432.5728786363,4
0.2976560115814209,0.0009944071942428155,0.06287665367126465,0.0004859611311763455,10,,4,4,356,"{'regressor__max_depth': 10, 'regressor__max_features': None, 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 4, 'regressor__n_estimators': 356}",-163448.73736837154,-8992.93910018232,-309587.16752909287,-1086100.8711089827,-444653.96269845107,-402556.7355610161,371406.3001724873,6
0.34174203872680664,0.001163779937961253,0.07328596115112304,0.001010306549323318,30,sqrt,7,19,437,"{'regressor__max_depth': 30, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 7, 'regressor__min_samples_split': 19, 'regressor__n_estimators': 437}",-179907.07457247857,-90195.12235213183,-456614.0175311754,-1027601.430738466,-669401.4470536684,-484743.818449584,340052.41558653134,16
0.3160238265991211,0.0019378224162818803,0.0678281307220459,0.00039243151752473964,,log2,2,10,395,"{'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 395}",-137125.51061480193,-39789.79390005651,-405054.4050271085,-943886.1026467327,-558944.4209224423,-416960.0466222284,322030.1670482915,8
0.3826893329620361,0.0017935686757354341,0.08525338172912597,0.00994392856439688,30,log2,4,16,493,"{'regressor__max_depth': 30, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 16, 'regressor__n_estimators': 493}",-162730.89088954907,-83473.3301284547,-457121.2533074038,-1025755.9183129676,-660796.7550168782,-477975.6295310507,343200.5312305523,13
0.08367571830749512,0.00037279834091689793,0.02560715675354004,0.00035396590624943013,20,sqrt,8,16,84,"{'regressor__max_depth': 20, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 8, 'regressor__min_samples_split': 16, 'regressor__n_estimators': 84}",-179776.86448052755,-86193.01094456125,-472790.1270103905,-1029417.8893516036,-663398.0638427011,-486315.19112595683,340753.6696103553,18
0.06259236335754395,0.002309185458616669,0.021451234817504883,0.0008381487735413663,,log2,8,5,51,"{'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 8, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 51}",-186622.95755058565,-96516.03116587557,-474049.41999824095,-1041282.1139542472,-679188.2199234753,-495531.74851848494,342541.3362303938,20
0.2024672031402588,0.043229229409436104,0.04477987289428711,0.0002631193142338953,5,log2,2,13,211,"{'regressor__max_depth': 5, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 13, 'regressor__n_estimators': 211}",-137007.11597975343,-47747.62148979903,-422169.7192616645,-931806.3165500008,-564879.9710356692,-420722.1488633774,316731.69009972614,9
0.318799352645874,0.003566036711166913,0.06803264617919921,0.0007447559522392387,5,log2,4,15,400,"{'regressor__max_depth': 5, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 4, 'regressor__min_samples_split': 15, 'regressor__n_estimators': 400}",-162882.57015224357,-82719.29383108769,-450570.36869135976,-1027027.0865931988,-647582.1055948513,-474156.2849725483,342465.5245603316,11
0.23518033027648927,0.0034256478403730437,0.05395264625549316,0.0007497473873692247,20,sqrt,8,17,286,"{'regressor__max_depth': 20, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 8, 'regressor__min_samples_split': 17, 'regressor__n_estimators': 286}",-181781.81317736508,-91390.65959333918,-463566.2105605933,-1025977.0024053685,-672352.000179484,-487013.53718323,339135.8448904851,19
0.09163918495178222,0.0004541849426643966,0.02625875473022461,0.0005831736457778173,5,,5,14,90,"{'regressor__max_depth': 5, 'regressor__max_features': None, 'regressor__min_samples_leaf': 5, 'regressor__min_samples_split': 14, 'regressor__n_estimators': 90}",-184642.98632927513,-3568.227028491426,-306032.312090939,-1071404.3793514464,-500502.43347880215,-413230.06765579083,366708.6381927917,7
0.06867523193359375,0.0006083568634363692,0.022530841827392577,0.00017619293661249642,30,,1,8,58,"{'regressor__max_depth': 30, 'regressor__max_features': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 8, 'regressor__n_estimators': 58}",-90497.75399656495,-591.4022577797555,-229796.00118116016,-896793.2301542317,-303757.03887706524,-304287.08529336035,314499.50089947204,2
0.3580154895782471,0.003509665457089202,0.07960214614868164,0.01139317950460259,,,3,18,441,"{'regressor__max_depth': None, 'regressor__max_features': None, 'regressor__min_samples_leaf': 3, 'regressor__min_samples_split': 18, 'regressor__n_estimators': 441}",-116111.07488022385,-1853.029750521266,-216077.6410582894,-814026.1889964622,-467526.3381625854,-323118.8545696164,289608.46146144543,3
0.24729523658752442,0.0012246483661907243,0.05350713729858399,0.0005118328031762228,10,,1,6,280,"{'regressor__max_depth': 10, 'regressor__max_features': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 6, 'regressor__n_estimators': 280}",-91434.2112307886,-2988.188356978467,-218445.9108298979,-927238.0735240945,-276410.0471146941,-303303.28621129075,326280.95323421434,1
0.29956769943237305,0.0014625045186743328,0.06646614074707032,0.000997086900568899,5,sqrt,7,10,377,"{'regressor__max_depth': 5, 'regressor__max_features': 'sqrt', 'regressor__min_samples_leaf': 7, 'regressor__min_samples_split': 10, 'regressor__n_estimators': 377}",-182314.32435688624,-87223.99513003451,-454048.9456782502,-1023699.7002347483,-664706.8500703769,-482398.7630940592,338603.13728064817,14
